RAM,Storage,GPU,Screen,Processor,Price
8,256,RTX 5080,14.0,Pro,240435.0
16,256,M5 Max,13.3,Ultra,290500.0
8,256,Integrated,14.0,Pro,110030.0
128,4096,Integrated,17.3,Pro,372804.0
128,2048,RTX 5060,16.0,Max,367604.0
8,512,M5 Pro,15.6,Max,224345.0
16,512,RTX 5080,13.3,Base,236730.0
64,256,RTX 5080,15.6,Max,307066.0
8,2048,M5 Max,13.3,Ultra,369343.0
8,4096,RTX 5080,18.0,Max,427603.0
128,512,Integrated,13.3,Pro,225503.0
32,256,RTX 5060,13.3,Ultra,240762.0
32,2048,RTX 5080,14.0,Max,347205.0
32,512,RTX 5080,18.0,Base,242849.0
128,512,M5 Max,18.0,Pro,341313.0
16,2048,M5 Pro,15.6,Pro,261231.0
32,256,RTX 5060,13.3,Max,207491.0
64,1024,Integrated,14.0,Max,216580.0
16,2048,M5 Pro,18.0,Ultra,338288.0
16,1024,RTX 5060,14.0,Max,241529.0
128,2048,M5 Max,16.0,Max,432716.0
16,512,M5 Max,16.0,Base,233946.0
8,256,RTX 5060,18.0,Pro,181582.0
64,4096,Integrated,16.0,Ultra,385471.0
128,2048,M5 Max,15.6,Base,378267.0
8,4096,RTX 5080,18.0,Max,416429.0
8,1024,M5 Pro,14.0,Ultra,284478.0
8,1024,M5 Max,14.0,Base,238365.0
32,4096,M5 Max,14.0,Pro,399339.0
32,512,M5 Max,17.3,Base,241947.0
128,1024,M5 Pro,13.3,Base,297872.0
32,1024,RTX 5060,13.3,Pro,214554.0
128,256,Integrated,18.0,Ultra,272196.0
8,4096,RTX 5060,14.0,Ultra,372130.0
128,512,RTX 5080,17.3,Ultra,406318.0
16,4096,RTX 5060,18.0,Max,367142.0
64,1024,M5 Pro,17.3,Ultra,327387.0
8,512,RTX 5060,13.3,Max,202272.0
8,4096,M5 Max,14.0,Pro,388795.0
8,256,Integrated,14.0,Base,94893.0
8,1024,Integrated,17.3,Pro,150393.0
32,2048,RTX 5060,17.3,Pro,262353.0
128,4096,M5 Pro,14.0,Ultra,495256.0
64,512,Integrated,13.3,Ultra,220892.0
32,2048,M5 Pro,16.0,Base,265307.0
8,256,M5 Pro,18.0,Max,229799.0
8,512,RTX 5060,14.0,Ultra,237086.0
16,2048,RTX 5060,15.6,Ultra,304146.0
16,256,M5 Pro,17.3,Base,182181.0
8,4096,Integrated,13.3,Pro,259992.0
16,2048,M5 Pro,16.0,Pro,258305.0
64,256,RTX 5060,16.0,Base,187383.0
64,1024,M5 Pro,15.6,Ultra,332817.0
128,2048,RTX 5060,14.0,Max,353341.0
16,256,M5 Max,18.0,Base,230693.0
32,256,Integrated,17.3,Ultra,201245.0
128,4096,RTX 5060,13.3,Base,396257.0
16,256,M5 Max,13.3,Pro,237629.0
64,256,M5 Max,14.0,Base,259132.0
128,256,M5 Pro,18.0,Max,321630.0
32,512,RTX 5080,14.0,Max,290953.0
64,512,RTX 5080,16.0,Max,319355.0
8,256,M5 Pro,17.3,Base,161401.0
8,4096,RTX 5060,17.3,Max,349137.0
16,1024,Integrated,14.0,Max,172755.0
32,512,M5 Pro,17.3,Max,252214.0
128,4096,Integrated,18.0,Max,399869.0
8,512,RTX 5080,13.3,Base,214496.0
128,512,RTX 5080,15.6,Pro,342609.0
32,512,RTX 5080,17.3,Ultra,337942.0
32,256,Integrated,18.0,Ultra,201108.0
32,256,Integrated,15.6,Pro,139225.0
32,512,M5 Pro,17.3,Ultra,277011.0
128,256,Integrated,13.3,Pro,207811.0
128,256,RTX 5080,17.3,Pro,334448.0
64,512,Integrated,15.6,Max,198156.0
8,1024,RTX 5060,18.0,Pro,211806.0
8,1024,M5 Max,16.0,Pro,275808.0
16,512,RTX 5060,16.0,Base,171496.0
16,1024,M5 Pro,18.0,Pro,227766.0
32,512,Integrated,16.0,Base,120648.0
64,512,RTX 5060,16.0,Max,245707.0
32,512,RTX 5060,13.3,Pro,185375.0
64,1024,RTX 5080,13.3,Max,344182.0
