RAM,Storage,Battery,Camera,RefreshRate,Price
24,64,4000,200,120,133510
6,128,4500,200,60,117475
24,2048,6000,32,165,228240
12,64,4000,32,90,69830
6,1024,6000,32,165,157758
6,2048,6500,200,165,256971
12,128,5500,108,120,116644
4,128,6500,64,120,103364
8,128,4500,50,60,72314
4,512,4000,50,120,97885
16,256,4000,200,144,132946
16,64,5500,32,165,108266
8,2048,6000,50,165,217106
6,2048,4000,32,90,181858
8,64,4500,32,144,87783
8,512,6500,50,90,122656
8,256,4500,200,120,133923
24,2048,6500,32,165,242491
24,128,6000,200,90,149002
6,512,5500,50,165,115805
6,2048,5000,32,90,199948
4,256,5500,50,60,78229
6,1024,6500,50,90,149923
24,512,5500,200,144,183243
6,256,4500,48,165,106033
16,256,6500,108,144,136429
16,512,5000,48,90,110553
16,512,4000,32,60,96031
6,2048,4500,200,144,237051
16,64,5500,64,165,109160
12,1024,5000,108,60,144824
24,2048,4000,200,165,257935
8,2048,5000,32,120,195465
12,128,5500,32,120,97989
16,128,6000,32,120,100876
24,1024,6000,48,90,169475
8,128,6000,108,60,104176
16,256,5500,32,60,103280
8,256,4500,32,90,83826
16,64,4000,200,144,130234
4,1024,4500,48,144,132718
16,128,5000,108,165,121429
12,128,6000,200,90,128327
24,256,5500,200,120,165595
12,1024,5500,32,90,136787
6,64,5000,32,165,87907
16,128,6000,48,60,97678
4,2048,6500,32,90,194069
4,64,5000,32,165,91633
6,256,6500,64,90,99494
16,128,6500,108,165,128585
12,128,5500,64,90,92938
4,64,6500,64,120,90139
12,512,5500,200,60,147654
24,2048,6500,32,60,213747
12,2048,5000,32,90,206647
6,128,6000,64,90,86608
12,128,5000,64,90,95674
4,512,6000,32,60,95876
24,1024,4000,32,90,140330
6,512,5500,64,90,112958
12,64,4500,64,60,85396
12,256,5500,50,144,113260
24,2048,6000,200,144,280102
6,128,5000,48,60,73073
16,2048,6000,32,120,220307
4,64,6000,64,165,101132
16,128,4000,108,60,97235
6,64,6000,32,90,83493
12,64,6000,48,165,106373
16,64,6000,32,144,105193
24,1024,6000,108,120,187856
8,128,6500,200,120,138393
6,256,5500,48,120,92772
12,256,4000,32,144,92721
